Property Details	Detail nemovitosti
Property	Nemovitost
Properties	Vlastnosti
Development	Rozvoj
Developments	Vývoj
Details	Podrobnosti
Select	Vybrat
General	Obecný
Rates & Availability	Ceny a dostupnost
Reviews	Recenze
Description	Popis
Amenities	Vybavení
Rates	Sazby
Availability	Dostupnost
Compare	Porovnat
Property Name	Název vlastnosti
Category	Kategorie
Beds	Postele
Baths	Lázně
Sleeps	Nespí
Book Now	Zarezervovat
Details & Availability	Podrobnosti a dostupnost
Attractions	Atrakce
Distance	Na Dálku
Stories	Příběhy
Floor	Podlaží
No rates available	Žádné sazby k dispozici
Back to Results	Zpět na výsledky
Search Buckets	Hledat Lopaty
Specials	Slevy
All Rentals	Všechny Rentals
Would you like to	Chtěl bys
Print this Page	Vytisknout tuto stránku
Available Properties	Dostupné Properties
This page is secure	Tato stránka je bezpečná
check here	podívejte se na zde
Unit Size	Velikost jednotky
Posted on	Publikováno
Map & Attractions	Mapa a zajímavosti
Map	Mapa
Location	Umístění
Nearby Rentals	Nedaleko Rentals
Enquire Now	Informujte se teď
Have a Question?	Máte dotaz?
Name	Název
Phone	Telefon
Email	E-mail
Toll Free	Bezcelní
Fax	Fax
Direct	Přímý
Mobile	Mobilní
Skype	Skype
Web Address	Webová adresa
Contact Us	Kontaktujte Nás
Our Address	Naše Adresa
Talk to Us	Obraťte se na nás
View Larger Map	Zvětšit mapu
Check-In	Check-In
Check-Out	Zkontroluj
How Did You Hear About Us?	Jak Jsi Se O Nás Dozvěděl?
Comments	Komentáře
Submit	Předložit
You May Also Like	Můžete také líbí
News & Events	Novinky a události
Connect With Us	Spojte se s námi
Find your InstaVilla	Najděte si svůj InstaVilla
Search for Availability	Hledat na dostupnost
Search	Vyhledávání
Clear	Jasný
Advanced	Pokročilý
Applies To	Platí Pro
Adults	Dospělí
Children	Děti
Update	Aktualizovat
Close	V Blízkosti
more	více
less	méně
Show More Results	Zobrazit další výsledky
There are no more results	Nejsou zde žádné další výsledky
List	Seznam
Photo	Fotografie
View as	Zobrazit jako
My WishList	Moje oblíbené
WishList	Přání
WishListed	WishListed
There are currently no active promotions/specials	V současné době není žádný aktivní Akce / slevy
Effective Date	Datum účinnosti
Expiration Date	Datum Expirace
Apply	Ucházet Se
Coupon Code	Kupon Kód
See Details	Zobrazit podrobnosti
Address	Adresa
City	Město
State	Stav
Country	Země
Region	Kraj
Neighborhood	Sousedství
Postal Code	Psč
Province	Provincie
Town	Město
Fast Secure Online Booking	Fast Secure Online Rezervace
Charges	Poplatky
Taxes & Fees	Daně a poplatky
Rent (including Taxes,Fees,& Deposits)	Rent (včetně daní, poplatků, a vklady)
Rent (including Taxes & Fees)	Rent (včetně daní a poplatků)
Rent (including Taxes)	Rent (včetně daní)
Rent (including Fees)	Rent (včetně poplatků)
Optional Fees	Volitelné Poplatky
Refundable Security Deposit	Vratnou kauci
Booking Details	Rezervace Details
Rent	Pronajmout Si
Fees	Poplatky
Taxes	Daně
Optional Fees & Services	Volitelné Poplatky a služby
Deposits	Vklady
Discounts	Slevy
Sub Total	Součet
Total	Celkem
First Name	Jméno
Last Name	Příjmení
Special Requests	Speciální požadavky
Change Info	Změna Info
Accept Terms and Conditions	Přijmout podmínky
Please fill out all required fields	Vyplňte prosím všechna povinná pole
The entered credit card is invalid	Zadaná kreditní karta je neplatná
Please accept the terms and conditions	Přijměte, prosím, podmínky
Guest Information	Guest Informace
Credit Card Information	Informace o kreditní kartě
Name on Card	Jméno na kartě
Card Type	Typ karty
Card Number	Číslo Karty
Expiration	Vypršení platnosti
Month	Měsíc
Year	Rok
Security Code	Bezpečnostní Kód
Amount to be charged now	Částka, která má být účtovány teď
Amount Paid	Zaplacené částky
Amount Due Now	Dlužná částka nyní
Billing Address	Fakturační Adresa
Street Line 1	Street řádek 1
Street Line 2	Street Řádek 2
I have read and accept the terms and conditions	Přečetl jsem a přijímám smluvní podmínky
Terms of Service	Smluvní podmínky
Rental Policy	Pronájem Policy
Booking Disclaimer	Rezervace Disclaimer
Review Now	Recenze teď
Reserve Now	Reserve teď
You Saved	Jste si uložili
Status	Postavení
Created On	Vytvořeno
Hold Confirmation Number	Držte Číslo potvrzení
Quoted Rate	Citovaný Rate
We are looking forward to your visit	Těšíme se na Vaši návštěvu
in the mean time	zatímco
you may want to review one of these links	budete chtít přečíst některý z těchto odkazů
Map and Description of Local Attractions	Mapa a popis místních atrakcí
More Info About	Více informací o
located in	leží v oblasti
Complete your booking now	Vyplňte rezervaci nyní
click here	klikněte zde
Your booking will be held until	Vaše rezervace bude konat, dokud
A service from	Doprava z
Best Regards	S Pozdravem
Thank you for your interest in	Děkujeme Vám za Váš zájem
Toll-Free	Bezcelní
Confirmed	Potvrzeno
Held	Koná Se
Checked In	Kontrolovány v
Checked Out	Odhlásil
Cancelled	Zrušeno
Pending Confirmation	Čeká na potvrzení
Weather	Počasí
Special Offers	Speciální Nabídky
Blog	Blog
Featured Suites	Nejlepší Suites
Revise Search	Revidovat Search
Similar Properties	Podobné vlastnosti
Property Finders	Vlastnictví nálezci
Digital Footprint	Digital Footprint
Last Booking	Poslední rezervace
Last Email	Poslední e-mail
Last Event	Poslední závod
Quote is valid for	Citace je platný pro
minute(s)	minuta (y)
second(s)	Druhá (y)
The credit card number should contain only digits	Číslo kreditní karty by měly obsahovat pouze číslice
This quote is not valid any more	Tato nabídka není platný nic víc
The page will be automatically refreshed	Stránka bude automaticky obnovovat
You will pay in	Budete platit v
There are no properties in your wish list	K dispozici jsou ve vašem seznamu přání žádné vlastnosti
Garage Spaces	Garážová stání
An unexpected error occurred	Došlo k neočekávané chybě
Please try again later	Prosím zkuste to znovu později
Booking not found	Rezervace nebyl nalezen
Make a Payment	Proveďte platbu
Please verify this booking belongs to you	Zkontrolujte prosím, zda toto rezervace patří vám
This booking has been canceled	Tato rezervace byla zrušena
Pay Now	Zaplať Teď
Filter by	Filtrovat podle
Response	Odpověď
See full review on	Zobrazit celou recenzi na
Lot Size	Lot Size
Privacy	Ochrana Osobních Údajů
Privacy Policy	Ochrana osobních údajů
Policy	Politika
Terms	Z Hlediska
Nights	Nocí
Inquire Now	Dotaz nyní
Thank you, your request has been submitted.	Děkuji, vaše žádost byla předložena.
Booking %s was not found.	Rezervace %s nebyla nalezena.
Try again	Zkuste to znovu
Please contact us to complete this transaction:	Kontaktujte nás pro dokončení transakce:
Booking ID	ID rezervace
Phone	Telefon
There was an error with PayPal	Došlo k chybě s PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Bohužel vaše platba se nezdařila. Nebojte se, vaše rezervace je třeba zaplatit; ale budete muset zkuste platbu provést znovu.
Payment Confirmed	Platba potvrzena
Booking Confirmed	Rezervace potvrzena
Booking Complete	Rezervace dokončena
Payment Complete	Platba dokončena
Create Booking	Vytvořit rezervaci
Complete Payment	Úplná platba
Next, please confirm your %s PayPal payment.	Dále prosím potvrďte vaše %s PayPal platby.
Confirm this payment	Potvrďte platbu
Please contact us to complete this transaction:	Kontaktujte nás pro dokončení transakce:
We're sorry, but your payment was unsuccessful.	Je nám líto, ale vaše platba neproběhla.