Property Details	Details der Immobilie
Property	Immobilien
Properties	Immobilien
Development	Entwicklung
Developments	Entwicklungen
Details	Einzelheiten
Select	Wählen
General	General
Rates & Availability	Preise & Verfügbarkeit
Reviews	Bewertungen
Description	Beschreibung
Amenities	Komfort
Rates	Preise
Availability	Verfügbarkeit
Compare	Vergleichen Sie
Property Name	Eigenschaftsname
Category	Kategorie
Beds	Betten
Baths	Bad
Sleeps	Schlafplätze
Book Now	Jetzt Buchen
Details & Availability	Details & Verfügbarkeit
Attractions	Sehenswürdigkeiten
Distance	Entfernung
Stories	Geschichten
Floor	Fußboden
No rates available	Keine Preise verfügbar
Back to Results	Zurück zur Übersicht
Search Buckets	Suchen Eimer
Specials	Angebote
All Rentals	Alle Vermietungen
Would you like to	Möchten Sie gerne
Print this Page	Diese Seite drucken
Available Properties	Verfügbare Eigenschaften
This page is secure	Diese Seite ist sicher
check here	überprüfen Sie hier
Unit Size	Gebindegröße:
Posted on	Veröffentlicht am
Map & Attractions	Karte und Sehenswürdigkeiten
Map	Karte
Location	Lage
Nearby Rentals	In der Nähe Vermietungen
Enquire Now	Jetzt Anfragen
Have a Question?	Haben Sie eine Frage?
Name	Name
Phone	Telefon
Email	E-Mail
Toll Free	Gebührenfrei
Fax	Fax
Direct	Direkt
Mobile	Handy
Skype	Skype
Web Address	Web-Adresse
Contact Us	Kontaktieren Sie Uns
Our Address	Unsere Adresse
Talk to Us	Sprechen Sie mit uns
View Larger Map	Größere Kartenansicht
Check-In	Einchecken
Check-Out	Überprüfen
How Did You Hear About Us?	Wie Haben Sie Von Uns Gehört?
Comments	Kommentare
Submit	Einreichen
You May Also Like	Sie können auch lieben
News & Events	News & Events
Connect With Us	Schließen Sie mit uns
Find your InstaVilla	Finden Sie Ihr InstaVilla
Search for Availability	Suche nach Verfügbarkeit
Search	Suche
Clear	Klar
Advanced	Fortgeschritten
Applies To	Betrifft
Adults	Erwachsene
Children	Kinder
Update	Aktualisierung
Close	Zu Schließen
more	mehr
less	weniger
Show More Results	Show More
There are no more results	Es gibt keine Ergebnisse mehr
List	Liste
Photo	Foto
View as	Darstellung als
There are currently no active promotions/specials	Es liegen noch keine aktiven Aktionen / Sonderangebote
Effective Date	Datum des Inkrafttretens
Expiration Date	Verfallsdatum
Apply	Sich Bewerben
Coupon Code	Gutschein-Code
See Details	Siehe Einzelheiten
Address	Anschrift
City	City
State	Zustand
Country	Land
Region	Region
Neighborhood	Nachbarschaft
Postal Code	Postleitzahl
Province	Provinz
Town	Stadt
Fast Secure Online Booking	Schnell Sicher Online Buchen
Charges	Gebühren
Taxes & Fees	Steuern und Gebühren
Rent (including Taxes,Fees,& Deposits)	Mieten (einschließlich Steuern, Gebühren, und Einlagen)
Rent (including Taxes & Fees)	Miete (inklusive Steuern und Gebühren)
Rent (including Taxes)	Mieten (einschließlich Steuern)
Rent (including Fees)	Mieten (einschließlich Gebühren)
Optional Fees	Optional Gebühren
Refundable Security Deposit	Sicherheitskaution
Booking Details	Buchungsdetails
Rent	Miete
Fees	Gebühren
Taxes	Steuern
Optional Fees & Services	Optional Gebühren & Dienstleistungen
Deposits	Einlagen
Discounts	Rabatte
Sub Total	Zwischensumme
Total	Gesamt
First Name	Vorname
Last Name	Nachname
Special Requests	Besondere Wünsche
Change Info	Info ändern
Accept Terms and Conditions	Nutzungsbedingungen akzeptieren
Please fill out all required fields	Bitte füllen Sie alle erforderlichen Felder
The entered credit card is invalid	Der eingegebene Kreditkarte ist ungültig
Please accept the terms and conditions	Bitte akzeptieren Sie die Allgemeinen Geschäftsbedingungen
Guest Information	Gästeinformation
Credit Card Information	Kreditkarteninformationen
Name on Card	Name auf der Karte
Card Type	Card Type
Card Number	Kartennummer
Expiration	Ablauf
Month	Monat
Year	Jahr
Security Code	Sicherheitscode
Amount to be charged now	Betragen nun kostenfrei
Amount Paid	Betrag bezahlt
Amount Due Now	Zuschlag erfolgt jetzt
Billing Address	Rechnungsadresse
Street Line 1	Street Line 1
Street Line 2	Street Line 2
I have read and accept the terms and conditions	Ich habe die Allgemeinen Geschäftsbedingungen akzeptieren
Terms of Service	Nutzungsbedingungen
Rental Policy	Vermietung Politik
Booking Disclaimer	Buchung Haftungsausschluss
Review Now	Jetzt Bewerten
Reserve Now	Jetzt reservieren
You Saved	Sie Gespeichert
Status	Status
Created On	Erstellt Am
Hold Confirmation Number	Halten Bestätigungsnummer
Quoted Rate	Tarif
We are looking forward to your visit	Wir freuen uns auf Ihren Besuch
in the mean time	inzwischen
you may want to review one of these links	möchten Sie vielleicht einen dieser Links zu überprüfen
Map and Description of Local Attractions	Karte und Beschreibung der Sehenswürdigkeiten vor Ort
More Info About	Mehr Informationen über
located in	liegt in
Complete your booking now	Vervollständigen Sie Ihr Zimmer sofort
click here	klicken sie hier
Your booking will be held until	Ihre Buchung wird bis gehalten werden
A service from	Ein Service von
Best Regards	Liebe Grüße
Thank you for your interest in	Vielen Dank für Ihr Interesse an
Toll-Free	Gebührenfrei
Confirmed	Bestätigt
Held	Gehalten
Checked In	Eingecheckt
Checked Out	Ausgecheckt
Cancelled	Abgesagt
Pending Confirmation	Noch zu bestätigen
Weather	Wetter
Special Offers	Angebote
Blog	Blog
Featured Suites	Besondere Suites
Revise Search	Suche ändern
Similar Properties	Ähnliche Immobilien
Property Finders	Property Finders
Digital Footprint	Digital-Footprint
Last Booking	Letzte Buchung
Last Email	Letzte E-Mail
Last Event	Letztes Ereignis
Quote is valid for	Quote gilt für
minute(s)	Minute (n)
second(s)	die zweite (n)
The credit card number should contain only digits	Die Kreditkartennummer sollte nur Ziffern enthalten
This quote is not valid any more	Dieses Zitat ist nicht mehr gültig
The page will be automatically refreshed	Wird die Seite automatisch aktualisiert
You will pay in	Sie zahlen in
There are no properties in your wish list	Es sind keine Objekte in Ihrer Merkliste
Garage Spaces	Garagenplätze
An unexpected error occurred	Ein unerwarteter Fehler aufgetreten
Please try again later	Bitte versuchen Sie es später noch einmal
Booking not found	Reservation nicht gefunden
Make a Payment	Machen Sie eine Zahlung
Please verify this booking belongs to you	Bitte überprüfen Sie diese Buchung auf Sie
This booking has been canceled	Diese Buchung storniert wurde
Pay Now	Jetzt Bezahlen
Filter by	Filtern nach
Response	Antwort
See full review on	Komplette Bewertung auf
Lot Size	Grundstücksgröße
Privacy	Privatleben
Privacy Policy	Datenschutz-Bestimmungen
Policy	Politik
Terms	Bedingungen
My WishList	Mein Wunschzettel
WishList	Für Merkzettel
WishListed	In die Wunschliste
Nights	Nächte
Inquire Now	Jetzt erkundigen
Thank you, your request has been submitted.	Vielen Dank, Ihre Anfrage wurde abgeschickt.
Booking %s was not found.	Buchung von %s wurde nicht gefunden.
Try again	Wiederholen
Please contact us to complete this transaction:	Bitte kontaktieren Sie uns um diese Transaktion abzuschließen:
Booking ID	Buchungs ID
Phone	Telefon
There was an error with PayPal	Es gab einen Fehler mit PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Leider konnte Ihre Zahlung. Keine Sorge, Ihre Buchung ist sicher; aber du musst deine Zahlung erneut zu versuchen.
Payment Confirmed	Zahlung bestätigt
Booking Confirmed	Buchung bestätigt
Booking Complete	Buchung von kompletten
Payment Complete	Vollständige Zahlung
Create Booking	Buchung erstellen
Complete Payment	Vollständigen Bezahlung
Next, please confirm your %s PayPal payment.	Anschließend bestätigen Sie bitte Ihre %s PayPal-Zahlung.
Confirm this payment	Diese Zahlung bestätigen
Please contact us to complete this transaction:	Bitte kontaktieren Sie uns um diese Transaktion abzuschließen:
We're sorry, but your payment was unsuccessful.	Es tut uns leid, aber Ihre Zahlung ist fehlgeschlagen.