Property Details	Az ingatlan adatai
Property	Ingatlan
Properties	Tulajdonságok
Development	Fejlesztés
Developments	Fejlesztések
Details	Részletek
Select	Választ
General	Általános
Rates & Availability	Árak és kapacitás
Reviews	Vélemények
Description	Leírás
Amenities	Felszereltség
Rates	Árak
Availability	Elérhetőség
Compare	Összehasonlítása
Property Name	Szállás név
Category	Kategória
Beds	Ágyak
Baths	Fürdők
Sleeps	Alszik
Book Now	Foglaljon most
Details & Availability	Részletek & Szabad
Attractions	Látnivalók
Distance	Távolság
Stories	Történetek
Floor	Emelet
No rates available	Nem árait,
Back to Results	Vissza az eredményekhez
Search Buckets	Keresés Vödrök
Specials	Akciós
All Rentals	Minden bérlés
Would you like to	Szeretnél
Print this Page	Az oldal nyomtatása
Available Properties	Elérhető Properties
This page is secure	Ez az oldal biztonságos
check here	ellenőrizze itt
Unit Size	A berendezés mérete
Posted on	Feladta
Map & Attractions	Térkép és látványosságok
Map	Térkép
Location	Elhelyezkedés
Nearby Rentals	Közeli bérlés
Enquire Now	Kérdezd Most
Have a Question?	Kérdése van?
Name	Név
Phone	Telefon
Email	E-mail
Toll Free	Toll Free
Fax	Fax
Direct	Közvetlen
Mobile	Mozgó
Skype	Skype
Web Address	Web Address
Contact Us	Lépjen Velünk Kapcsolatba
Our Address	Címünk
Talk to Us	Beszéljen velünk
View Larger Map	Nagyobb térkép
Check-In	Becsekkolni
Check-Out	Be- és kijelentkezés
How Did You Hear About Us?	Hol Hallottál Rólunk?
Comments	Hozzászólások
Submit	Elküld
You May Also Like	Lehet is, mint
News & Events	Hírek és események
Connect With Us	Kapcsolatba velünk
Find your InstaVilla	Találja meg InstaVilla
Search for Availability	Kereséséhez
Search	Keresés
Clear	Világos
Advanced	Előrehaladott
Applies To	Érvényes
Adults	Felnőttek
Children	Gyermekek
Update	Frissítés
Close	Közel
more	több
less	kevesebb
Show More Results	További eredmények megjelenítése
There are no more results	Nincs több találat
List	Lista
Photo	Fénykép
View as	Nézet
There are currently no active promotions/specials	Jelenleg nincs aktív promóciók / Akciós
Effective Date	Hatálybalépés Napjára
Expiration Date	Lejárati Idő
Apply	Alkalmaz
Coupon Code	Kupon Kód
See Details	Lásd Részletek
Address	Cím
City	City
State	Állam
Country	Ország
Region	Vidék
Neighborhood	Szomszédság
Postal Code	Postal Code
Province	Tartomány
Town	Város
Fast Secure Online Booking	Gyors biztonságos online foglalási
Charges	Díjak
Taxes & Fees	Adók és díjak
Rent (including Taxes,Fees,& Deposits)	Rent (beleértve az adókat, díjakat, és betétek)
Rent (including Taxes & Fees)	Rent (beleértve az adókat és díjakat)
Rent (including Taxes)	Rent (adókkal együtt)
Rent (including Fees)	Rent (beleértve a díjakat)
Optional Fees	Opcionális díjak
Refundable Security Deposit	Visszatérítendő kauciót
Booking Details	Foglalás Részletek
Rent	Bérlés
Fees	Díjak
Taxes	Adók
Optional Fees & Services	Választható díjak és szolgáltatások
Deposits	Betétek
Discounts	Kedvezmények
Sub Total	Sub Total
Total	Teljes
First Name	Keresztnév
Last Name	Keresztnév
Special Requests	A különleges kérések
Change Info	Change Info
Accept Terms and Conditions	Felhasználói feltételek elfogadása
Please fill out all required fields	Kérjük, töltse ki az összes szükséges mezőt
The entered credit card is invalid	A megadott hitelkártya érvénytelen
Please accept the terms and conditions	Kérjük, fogadja el az Általános Szerződési Feltételek
Guest Information	Látogatók információ
Credit Card Information	Hitelkártya információk
Name on Card	A kártyán szereplő név
Card Type	Card Type
Card Number	Kártya száma
Expiration	Lejárat
Month	Hónap
Year	Év
Security Code	Biztonsági Kód
Amount to be charged now	Díjának összegét most
Amount Paid	Kifizetett Összeg
Amount Due Now	Esedékes összeg most
Billing Address	Számlázási Cím
Street Line 1	Street 1-es vonal
Street Line 2	Street 2. sor
I have read and accept the terms and conditions	Elolvastam és elfogadom a feltételeket
Terms of Service	Használati feltételek
Rental Policy	Bérleti feltételek
Booking Disclaimer	Foglalás Jogi nyilatkozat
Review Now	Értékelje most
Reserve Now	Foglaljon most
You Saved	Megmentetted
Status	Állapot
Created On	Létrehozva
Hold Confirmation Number	Tartás visszaigazolásszáma
Quoted Rate	Jegyzett árfolyam
We are looking forward to your visit	Örülünk, hogy a látogatást
in the mean time	eközben
you may want to review one of these links	érdemes felülvizsgálni az alábbi linkek
Map and Description of Local Attractions	Térkép és leírása Helyi nevezetességek
More Info About	Több információi
located in	található
Complete your booking now	Töltse ki a foglalási most
click here	kattints ide
Your booking will be held until	A foglalást tartott, amíg
A service from	A szolgáltatás
Best Regards	Üdvözlettel
Thank you for your interest in	Köszönjük, hogy érdeklődik a
Toll-Free	Ingyenes
Confirmed	Megerősített
Held	Held
Checked In	Ellenőrizni
Checked Out	Kivette
Cancelled	Törölt
Pending Confirmation	Függőben megerősítése
Weather	Időjárás
Special Offers	Különleges Ajánlatok
Blog	Blog
Featured Suites	Kiemelt Suites
Revise Search	Revise Keresés
Similar Properties	Hasonló ingatlanok
Property Finders	Property kapja
Digital Footprint	Digitális Footprint
Last Booking	Utolsó foglalás
Last Email	Utolsó Email
Last Event	Legutóbbi esemény
Quote is valid for	Idézet érvényes
minute(s)	perc (ek)
second(s)	másodperc (s)
The credit card number should contain only digits	A hitelkártya-számot kell csak számjegyeket tartalmazhat
This quote is not valid any more	Ez az idézet nem érvényes
The page will be automatically refreshed	Az oldal automatikusan frissül
You will pay in	Kell fizetni
There are no properties in your wish list	Nincs a tulajdonságokat a kívánságlista
Garage Spaces	Garázs Spaces
An unexpected error occurred	Váratlan hiba történt
Please try again later	Kérlek, próbáld újra később
Booking not found	Foglalás nem találhatók
Make a Payment	Az eseti befizetés
Please verify this booking belongs to you	Kérjük, ellenőrizze a foglalás tiéd
This booking has been canceled	Ez a foglalási törölték
Pay Now	Fizess Most
Filter by	Szűrés
Response	Válasz
See full review on	Lásd teljes ismertetőt
Lot Size	Telek méret
Privacy	Magánélet
Privacy Policy	Adatvédelmi Irányelvek
Policy	Politika
Terms	Feltételek
My WishList	Saját Wish List
WishList	Wish List
WishListed	Ebben a kívánságlistát
Nights	Éjszaka
Inquire Now	Érdeklődjön most
Thank you, your request has been submitted.	Köszönöm, a kérelmet már benyújtották.
Booking %s was not found.	Foglalás a(z) %s nem található.
Try again	próbáld újra
Please contact us to complete this transaction:	Kérjük, lépjen kapcsolatba velünk a tranzakció befejezéséhez:
Booking ID	Foglalás azonosító
Phone	Telefon
There was an error with PayPal	Hiba történt a PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Sajnos a fizetés nem sikerült. Ne aggódj, a foglalás biztonságos; de szüksége lesz a fizetési újra próbálni.
Payment Confirmed	Fizetési megerősítette
Booking Confirmed	Foglalás megerősítette
Booking Complete	Foglalás teljes
Payment Complete	Fizetés teljes
Create Booking	Hozzon létre a foglalás
Complete Payment	Teljes kifizetés
Next, please confirm your %s PayPal payment.	Ezután erősítse meg a %s PayPal fizetés.
Confirm this payment	Erősítse a fizetés
Please contact us to complete this transaction:	Kérjük, lépjen kapcsolatba velünk a tranzakció befejezéséhez:
We're sorry, but your payment was unsuccessful.	Elnézést, de sikertelen volt a fizetés.