Property Details	Dettagli dell'immobile
Property	Proprietá 
Properties	Proprietá 
Development	Sviluppo
Developments	Sviluppi
Details	Dettagli
Select	Selezionare
General	Generale
Rates & Availability	Prezzi e disponibilitá 
Reviews	Recensioni
Description	Descrizione
Amenities	Servizi
Rates	Prezzi
Availability	Disponibilitá 
Compare	Confrontare
Property Name	Nome Della Proprietá 
Category	Categoria
Beds	letti
Baths	Bagni
Sleeps	Posti letto
Book Now	Prenota Ora
Details & Availability	Dettagli e disponibilitá 
Attractions	Attrazioni
Distance	Distanza
Stories	Storie
Floor	piano
No rates available	Prezzi non disponibili
Back to Results	Torna ai risultati
Search Buckets	Ricerche predefinite
Specials	speciali
All Rentals	Tutte le proprietá
Would you like to	Vorresti
Print this Page	Stampa questa pagina
Available Properties	Proprietá  disponibili
This page is secure	Questa pagina è sicura
check here	controlla qui
Unit Size	Dimensione
Posted on	Postato su
Map & Attractions	Mappa & Attrazioni
Map	Mappa
Location	Posizione
Nearby Rentals	Affitti nei dintorni
Enquire Now	Informatevi ora
Have a Question?	hai una domanda?
Name	Nome
Phone	Telefono
Email	Posta Elettronica
Toll Free	Numero Verde
Fax	Fax
Direct	Diretto
Mobile	cellulare
Skype	Skype
Web Address	Indirizzo Web
Contact Us	Contattaci
Our Address	Il nostro indirizzo
Talk to Us	Parla con noi
View Larger Map	Visualizzazione Ingrandita Della Mappa
Check-In	Check In
Check-Out	check Out
How Did You Hear About Us?	Come ci hai conosciuto?
Comments	Commenti
Submit	Inviare
You May Also Like	Potrebbe interessarti anche
News & Events	Notizie ed eventi
Connect With Us	connettiti con noi
Find your InstaVilla	Trova il tuo InstaVilla
Search for Availability	Cerca Disponibilitá 
Search	Ricerca
Clear	Pulire
Advanced	Avanzato
Applies To	Si Applica A
Adults	Adulti
Children	bambini
Update	Aggiornare
Close	chiudere
more	di piú
less	di meno
Show More Results	Mostra altri risultati
There are no more results	Non ci sono altri risultati
List	Lista
Photo	Foto
View as	Visualizza come
My WishList	La mia lista dei desideri
WishList	Lista dei desideri
WishListed	messo nella lista
There are currently no active promotions/specials	Non ci sono promozioni attive / offerte speciali
Effective Date	Data Effettiva
Expiration Date	Data Di Scadenza
Apply	Applicare
Coupon Code	Codice Coupon
See Details	Vedi Dettagli
Address	Indirizzo
City	Cittá
State	Stato
Country	Paese
Region	Regione
Neighborhood	Quartiere
Postal Code	Codice Postale
Province	Provincia
Town	Cittá
Fast Secure Online Booking	prenotazione online veloce e sicura
Charges	Spese
Taxes & Fees	Tasse e commissioni
Rent (including Taxes,Fees,& Deposits)	prezzo d'affitto (comprese tasse, commissioni e depositi)
Rent (including Taxes & Fees)	prezzo d'affitto (comprese tasse e commissioni)
Rent (including Taxes)	prezzo d'affitto(tasse incluse)
Rent (including Fees)	prezzo d'affitto (comprese le spese)
Optional Fees	extra
Refundable Security Deposit	Cauzione rimborsabile
Booking Details	dettagli prenotazioni
Rent	Affitto
Fees	commissioni
Taxes	Tasse
Optional Fees & Services	extra e servizi
Deposits	Depositi
Discounts	Sconti
Sub Total	Totale Parziale
Total	Totale 
First Name	Nome
Last Name	Cognome
Special Requests	Richieste Speciali
Change Info	cambiare informazioni
Accept Terms and Conditions	Accetta Termini e Condizioni
Please fill out all required fields	Si prega di compilare tutti i campi richiesti
The entered credit card is invalid	La carta di credito inserito non é valida
Please accept the terms and conditions	Si prega di accettare i termini e condizioni
Guest Information	Informazioni Cliente
Credit Card Information	Informazioni sulla carta di credito
Name on Card	Nome sulla carta
Card Type	Tipo Di Carta
Card Number	Numero Di Carta
Expiration	Scadenza
Month	Mese
Year	Anno
Security Code	Codice Di Sicurezza
Amount to be charged now	Importo da addebitare
Amount Paid	Importo Pagato
Amount Due Now	Importo dovuto
Billing Address	Indirizzo Di Fatturazione
Street Line 1	Indirizzo 1
Street Line 2	Indirizzo 2
I have read and accept the terms and conditions	Ho letto e accettato i termini e le condizioni
Terms of Service	Termini di servizio
Rental Policy	politica di affitto
Booking Disclaimer	Termini di prenotazione
Review Now	controlla ora
Reserve Now	Prenota ora
You Saved	Hai salvato
Status	Stato
Created On	Creato il
Hold Confirmation Number	attendi numero di conferma ?
Quoted Rate	tariffa indicata
We are looking forward to your visit	Vi aspettiamo
in the mean time	intanto
you may want to review one of these links	potresti voler rivedere uno di questi link
Map and Description of Local Attractions	Mappa e descrizione attrazioni del luogo
More Info About	Maggiori informazioni 
located in	situato in
Complete your booking now	Completa la tua prenotazione ora
click here	clicca qui
Your booking will be held until	La prenotazione si manterrá fino
A service from	Un servizio da
Best Regards	Cordiali Saluti
Thank you for your interest in	Grazie per il vostro interesse
Toll-Free	Numero Verde
Confirmed	Confermato
Held	bloccata
Checked In	Check in effettuato
Checked Out	Check out effettuato
Cancelled	Annullato
Pending Confirmation	In Attesa Di Conferma
Weather	meteo
Special Offers	Offerte Speciali
Blog	Blog
Featured Suites	Suites in primo piano
Revise Search	Modifica la ricerca
Similar Properties	Proprietá  simili
Property Finders	Ricerche predefinite
Digital Footprint	impronte digitali
Last Booking	Ultima prenotazione
Last Email	Ultima mail
Last Event	Ultimo evento
Quote is valid for	preventivo valido per
minute(s)	minuto/i
second(s)	secondo/i
The credit card number should contain only digits	Il numero di carta di credito deve contenere solo cifre
This quote is not valid any more	Questo preventivo non é piú valido
The page will be automatically refreshed	La pagina verrá  aggiornata automaticamente
You will pay in	Pagherete in
There are no properties in your wish list	Non ci sono immobili nella tua lista dei desideri
Garage Spaces	Spazi destinati a garage
An unexpected error occurred	Si é verificato un errore imprevisto
Please try again later	Per favore riprova piú tardi
Booking not found	prenotazione non trovata
Make a Payment	Effettua un pagamento
Please verify this booking belongs to you	Controllare che questa prenotazione vi appartiene
This booking has been canceled	Questa prenotazione é stata cancellata
Pay Now	Paga Adesso
Filter by	Filtra per
Response	Risposta
See full review on	Vedi recensione completa su
Lot Size	Dimensione del lotto
Privacy	privacy
Privacy Policy	Informativa sulla privacy
Policy	Politica
Terms	Condizioni
Nights	Notti
Inquire Now	Informarsi adesso
Thank you, your request has been submitted.	Grazie, la richiesta è stata inviata.
Booking %s was not found.	Prenotazione di %s non è stato trovato.
Try again	Riprova
Please contact us to complete this transaction:	Vi preghiamo di contattarci per completare questa transazione:
Booking ID	ID di prenotazione
There was an error with PayPal	C'era un errore con PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Purtroppo, il pagamento non riuscito. Non ti preoccupare, la prenotazione è sicuro; ma sarà necessario provare nuovamente il pagamento.
Payment Confirmed	Confermata di pagamento
Booking Confirmed	Prenotazione confermata
Booking Complete	Prenotazione completa
Payment Complete	Pagamento completo
Create Booking	Creare la prenotazione
Complete Payment	Completare il pagamento
Next, please confirm your %s PayPal payment.	Successivamente, si prega di confermare il tuo %s pagamento PayPal.
Confirm this payment	Confermare questo pagamento
Please contact us to complete this transaction:	Vi preghiamo di contattarci per completare questa transazione:
We're sorry, but your payment was unsuccessful.	Siamo spiacenti, ma il pagamento non riuscito.