Property Details	รายละเอียดทรัพย์สิน
Property	คุณสมบัติ
Properties	สรรพคุณ
Development	พัฒนาการ
Developments	การพัฒนา
Details	รายละเอียด
Select	เลือก
General	ทั่วไป
Rates & Availability	ห้องพักและราคา
Reviews	ความคิดเห็น
Description	ลักษณะ
Amenities	สิ่งอำนวยความสะดวก
Rates	ราคา
Availability	สถานะ
Compare	เปรียบเทียบ
Property Name	ชื่อสถานที่ให้บริการ
Category	ประเภท
Beds	เตียง
Baths	ห้องอาบน้ำ
Sleeps	นอน
Book Now	จองตอนนี้
Details & Availability	รายละเอียดและสถานะ
Attractions	สถานที่ท่องเที่ยว
Distance	ระยะทาง
Stories	เรื่องที่
Floor	ชั้น
No rates available	อัตราไม่มี
Back to Results	กลับไปยังผล
Search Buckets	ค้นหาบุ้งกี๋
Specials	พิเศษ
All Rentals	ให้เช่าทั้งหมด
Would you like to	คุณต้องการที่จะ
Print this Page	พิมพ์หน้านี้
Available Properties	คุณสมบัติที่พร้อม
This page is secure	หน้านี้มีความปลอดภัย
check here	ตรวจสอบที่นี่
Unit Size	ขนาดหน่วย
Posted on	โพสต์วัน
Map & Attractions	แผนที่และสถานที่ท่องเที่ยว
Map	แผนที่
Location	สถานที่
Nearby Rentals	ให้เช่าที่ใกล้เคียง
Enquire Now	สอบถามตอนนี้
Have a Question?	มีคำถาม?
Name	ชื่อ
Phone	โทรศัพท์
Email	อีเมล์
Toll Free	โทรฟรี
Fax	แฟกซ์
Direct	โดยตรง
Mobile	โทรศัพท์มือถือ
Skype	Skype
Web Address	ที่อยู่เว็บ
Contact Us	ติดต่อเรา
Our Address	ที่อยู่ของเรา
Talk to Us	พูดคุยกับเรา
View Larger Map	ดูแผนที่ขนาดใหญ่
Check-In	เช็คอิน
Check-Out	เช็คเอาท์
How Did You Hear About Us?	คุณรู้จักเกี่ยวกับเรา?
Comments	ความคิดเห็น
Submit	เสนอ
You May Also Like	คุณอาจต้องการ
News & Events	ข่าวและกิจกรรม
Connect With Us	เชื่อมต่อกับเรา
Find your InstaVilla	ค้นหา InstaVilla ของคุณ
Search for Availability	ค้นหาสถานะ
Search	ค้นหา
Clear	ชัดเจน
Advanced	ก้าวหน้า
Applies To	นำไปใช้กับ
Adults	ผู้ใหญ่
Children	เด็ก ๆ
Update	ปรับปรุง
Close	ใกล้
more	มากกว่า
less	น้อยกว่า
Show More Results	แสดงผลอื่น ๆ
There are no more results	ไม่มีผลมากขึ้น
List	รายการ
Photo	ภาพถ่าย
View as	ดูรายละเอียดเพิ่มเติม
There are currently no active promotions/specials	ขณะนี้ไม่มีโปรโมชั่นที่ใช้งาน / โปรโมชั่น
Effective Date	วันที่มีผลบังคับใช้
Expiration Date	วันที่หมดอายุ
Apply	ใช้
Coupon Code	รหัสคูปอง
See Details	ดูรายละเอียดที่
Address	ที่อยู่
City	เมือง
State	รัฐ
Country	ประเทศ
Region	ภูมิภาค
Neighborhood	ย่าน
Postal Code	รหัสไปรษณีย์
Province	จังหวัด
Town	ตัวเมือง
Fast Secure Online Booking	รวดเร็วปลอดภัยจองออนไลน์
Charges	ค่าใช้จ่าย
Taxes & Fees	ภาษีและค่าธรรมเนียม
Rent (including Taxes,Fees,& Deposits)	ให้เช่า (รวมภาษี, ค่าธรรมเนียมและเงินฝาก)
Rent (including Taxes & Fees)	ให้เช่า (รวมภาษีและค่าธรรมเนียม)
Rent (including Taxes)	ให้เช่า (รวมภาษี)
Rent (including Fees)	ให้เช่า (รวมค่าธรรมเนียม)
Optional Fees	ค่าธรรมเนียมถ้าต้องการ
Refundable Security Deposit	สามารถขอคืนเงินฝากการรักษาความปลอดภัย
Booking Details	รายละเอียดการจอง
Rent	ให้เช่า
Fees	ค่าธรรมเนียม
Taxes	ภาษี
Optional Fees & Services	ถ้าต้องการค่าธรรมเนียมและบริการ
Deposits	เงินฝาก
Discounts	ส่วนลด
Sub Total	รวมทั้งสิ้น
Total	ทั้งหมด
First Name	ชื่อ
Last Name	นามสกุล
Special Requests	คำขอพิเศษ
Change Info	เปลี่ยนข้อมูล
Accept Terms and Conditions	ยอมรับข้อตกลงและเงื่อนไข
Please fill out all required fields	กรุณากรอกข้อมูลที่จำเป็นทั้งหมด
The entered credit card is invalid	บัตรเครดิตป้อนไม่ถูกต้อง
Please accept the terms and conditions	โปรดยอมรับข้อตกลงและเงื่อนไข
Guest Information	ข้อมูลของผู้เข้าพัก
Credit Card Information	ข้อมูลบัตรเครดิต
Name on Card	ชื่อบนบัตร
Card Type	ประเภทของการ์ด
Card Number	หมายเลขบัตร
Expiration	การหมดอายุ
Month	เดือน
Year	ปี
Security Code	รหัสความปลอดภัย
Amount to be charged now	จำนวนเงินที่จะเรียกเก็บในขณะนี้
Amount Paid	จำนวนเงินที่จ่าย
Amount Due Now	จํานวนเงินเนื่องจากตอนนี้
Billing Address	การเรียกเก็บเงินที่อยู่
Street Line 1	สาย 1 ถนน
Street Line 2	สาย Street 2
I have read and accept the terms and conditions	ฉันได้อ่านและยอมรับข้อตกลงและเงื่อนไข
Terms of Service	เงื่อนไขการใช้บริการ
Rental Policy	นโยบายการให้เช่า
Booking Disclaimer	การปฏิเสธความรับผิดชอบในการสำรองที่พัก
Review Now	ตรวจสอบตอนนี้
Reserve Now	จองด่วน
You Saved	คุณที่บันทึกไว้
Status	สถานะ
Created On	สร้างเมื่อ
Hold Confirmation Number	ถือจำนวนการยืนยัน
Quoted Rate	อัตราที่กำหนด
We are looking forward to your visit	เรากำลังมองไปข้างหน้าเพื่อเยี่ยมชมของคุณ
in the mean time	ในเวลาเฉลี่ย
you may want to review one of these links	คุณอาจต้องการตรวจสอบอย่างใดอย่างหนึ่งของการเชื่อมโยงเหล่านี้
Map and Description of Local Attractions	แผนที่และรายละเอียดของสถ​​านที่ท่องเที่ยว
More Info About	ข้อมูลเพิ่มเติมเกี่ยวกับ
located in	ตั้งอยู่ใน
Complete your booking now	เสร็จสิ้นการจองห้องพักของคุณตอนนี้
click here	คลิกที่นี่
Your booking will be held until	การจองห้องพักของคุณจะจัดขึ้นจนถึง
A service from	บริการจาก
Best Regards	ขอแสดงความนับถือ
Thank you for your interest in	ขอบคุณที่ให้ความสนใจใน
Toll-Free	โทรฟรี
Confirmed	ได้รับการยืนยัน
Held	จัดขึ้น
Checked In	ตรวจสอบใน
Checked Out	การยืม
Cancelled	ยกเลิก
Pending Confirmation	ที่รอดำเนินการยืนยัน
Weather	สภาพอากาศ
Special Offers	โปรโมชั่น
Blog	บล็อก
Featured Suites	สวีทที่แนะนำ
Revise Search	แก้ไขการค้นหา
Similar Properties	อสังหาริมทรัพย์ที่ใกล้เคียง
Property Finders	ทรัพย์สิน Finders
Digital Footprint	รอยพระพุทธบาทดิจิตอล
Last Booking	การจองล่าสุด
Last Email	อีเมล์ล่าสุด
Last Event	เหตุการณ์ล่าสุด
Quote is valid for	อ้างถูกต้องสำหรับ
minute(s)	นาที (s)
second(s)	second (s)
The credit card number should contain only digits	หมายเลขบัตรเครดิตควรมีตัวเลขเท่านั้น
This quote is not valid any more	คำพูดนี้ไม่ถูกต้องใด ๆ เพิ่มเติม
The page will be automatically refreshed	หน้าจะได้รับการฟื้นฟูโดยอัตโนมัติ
You will pay in	ท่านจะต้องชำระใน
There are no properties in your wish list	มีคุณสมบัติที่ไม่มีในรายการสินค้าที่ต้องการของคุณ
Garage Spaces	Spaces อู่
An unexpected error occurred	ข้อผิดพลาดที่ไม่คาดคิดเกิดขึ้น
Please try again later	โปรดลองอีกครั้งในภายหลัง
Booking not found	จองห้องพักที่ไม่พบ
Make a Payment	การชำระเงิน
Please verify this booking belongs to you	โปรดตรวจสอบการจองห้องพักนี้เป็นของคุณ
This booking has been canceled	การสำรองห้องพักได้รับการยกเลิก
Pay Now	จ่ายตอนนี้
Filter by	กรองตาม
Response	คำตอบ
See full review on	ดูความคิดเห็นฉบับเต็มใน
Lot Size	ขนาดพื้นที่
Privacy	ความเป็นส่วนตัว
Privacy Policy	นโยบายความเป็นส่วนตัว
Policy	นโยบาย
Terms	ข้อตกลงและเงื่อนไข
My WishList	รายการสินค้าที่ต้องการของฉัน
WishList	รายการสินค้าที่ต้องการ
WishListed	ในรายการสินค้าที่ต้องการของคุณ
Nights	คืน
Inquire Now	ติดต่อสอบถาม
Thank you, your request has been submitted.	ขอบคุณ คำขอของคุณแล้ว
Booking %s was not found.	จอง %s ไม่พบ
Try again	ลองอีกครั้ง
Please contact us to complete this transaction:	กรุณาติดต่อเราเพื่อทำธุรกรรมนี้:
Booking ID	หมายเลขการจอง
There was an error with PayPal	ข้อผิดพลาดกับ PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	อับ การชำระเงินล้มเหลว ไม่ต้องกังวล จองของคุณจะปลอดภัย แต่คุณจะต้องลองชำระเงินอีกครั้ง
Payment Confirmed	ยืนยันการชำระเงิน
Booking Confirmed	ยืนยันการจอง
Booking Complete	จองเสร็จสมบูรณ์
Payment Complete	การชำระเงินที่สมบูรณ์
Create Booking	สร้างการจอง
Complete Payment	การชำระเงิน
Next, please confirm your %s PayPal payment.	ถัดไป กรุณายืนยันการชำระเงิน PayPal %s ของคุณ
Confirm this payment	ยืนยันการชำระเงินนี้
Please contact us to complete this transaction:	กรุณาติดต่อเราเพื่อทำธุรกรรมนี้:
We're sorry, but your payment was unsuccessful.	ขออภัย แต่คุณไม่ประสบความสำเร็จ