Property Details	房产详细信息
Property	财产
Properties	性能
Development	发展
Developments	发展
Details	详细信息
Select	选择
General	一般
Rates & Availability	价格和可用性
Reviews	点评
Description	描述
Amenities	设施
Rates	价格
Availability	可用性
Compare	比较
Property Name	物业名称
Category	类别
Beds	床
Baths	浴场
Sleeps	睡觉
Book Now	现在预订
Details & Availability	详情及可用性
Attractions	旅游景点
Distance	距离
Stories	故事
Floor	地板
No rates available	没有优惠的价格
Back to Results	返回结果
Search Buckets	搜索桶
Specials	特价
All Rentals	所有出租
Would you like to	你是否想要
Print this Page	打印此页
Available Properties	可用属性
This page is secure	此页面是安全的
check here	点击这里
Unit Size	产品尺寸
Posted on	发表于
Map & Attractions	地图与景点
Map	地图
Location	地点
Nearby Rentals	附近出租
Enquire Now	现在咨询
Have a Question?	有问题吗？
Name	名字
Phone	电话
Email	电子邮件
Toll Free	免费电话
Fax	传真
Direct	直接
Mobile	移动
Skype	Skype的
Web Address	网址
Contact Us	联系我们
Our Address	我们的地址
Talk to Us	与我们交谈
View Larger Map	查看大图
Check-In	报到
Check-Out	查看
How Did You Hear About Us?	你是怎么知道我们的？
Comments	评论
Submit	提交
You May Also Like	您可能还喜欢
News & Events	新闻事件
Connect With Us	与我们保持联系
Find your InstaVilla	找到你的InstaVilla
Search for Availability	搜寻空房
Search	搜索
Clear	明确
Advanced	先进
Applies To	适用于
Adults	成人
Children	孩子们
Update	更新
Close	近
more	更多
less	减
Show More Results	显示更多结果
There are no more results	没有更多的结果
List	名单
Photo	照片
View as	查看
There are currently no active promotions/specials	目前没有活动促销/特价
Effective Date	生效日期
Expiration Date	截止日期
Apply	申请
Coupon Code	优惠券代码
See Details	查看详情
Address	地址
City	城市
State	状态
Country	国家
Region	区域
Neighborhood	邻里
Postal Code	邮政编码
Province	省
Town	镇
Fast Secure Online Booking	快速安全的在线预订
Charges	收费
Taxes & Fees	税务及费用
Rent (including Taxes,Fees,& Deposits)	租金（包括税费，费用，和存款）
Rent (including Taxes & Fees)	租金（包括税务及费用）
Rent (including Taxes)	租金（含税）
Rent (including Fees)	租金（包括费用）
Optional Fees	可选收费
Refundable Security Deposit	退还保证金
Booking Details	预订详情
Rent	租金
Fees	费用
Taxes	税
Optional Fees & Services	可选的收费与服务
Deposits	存款
Discounts	折扣
Sub Total	小计
Total	总
First Name	名字
Last Name	姓
Special Requests	特别要求
Change Info	变化信息
Accept Terms and Conditions	接受条款和条件
Please fill out all required fields	请填写所有必填字段
The entered credit card is invalid	输入的信用卡是无效的
Please accept the terms and conditions	请接受的条款和条件
Guest Information	客户信息
Credit Card Information	信用卡信息
Name on Card	持卡人姓名
Card Type	卡类型
Card Number	卡号
Expiration	呼气
Month	月
Year	年
Security Code	安全码
Amount to be charged now	量要收取现
Amount Paid	支付的金额
Amount Due Now	量由于现在
Billing Address	帐单地址
Street Line 1	街1号线
Street Line 2	街2号线
I have read and accept the terms and conditions	我已阅读并接受条款和条件
Terms of Service	服务条款
Rental Policy	租赁政策
Booking Disclaimer	免责声明预订
Review Now	现在回顾
Reserve Now	现在就预订
You Saved	您节省了
Status	状态
Created On	创建于
Hold Confirmation Number	持有确认号码
Quoted Rate	引用率
We are looking forward to your visit	我们期待着您的光临
in the mean time	同时
you may want to review one of these links	你可能要检查这些链接之一
Map and Description of Local Attractions	地图和当地景点简介
More Info About	更多关于
located in	位于
Complete your booking now	现在完成预订
click here	点击这里
Your booking will be held until	您的预订将被保留至
A service from	从服务
Best Regards	最好的问候
Thank you for your interest in	感谢您的兴趣
Toll-Free	免费电话
Confirmed	确认
Held	举行
Checked In	在检查
Checked Out	签出
Cancelled	取消
Pending Confirmation	待定确认
Weather	天气
Special Offers	特别优惠
Blog	博客
Featured Suites	特色套房
Revise Search	修改搜索
Similar Properties	类似房产
Property Finders	物业发现者
Digital Footprint	数字足迹
Last Booking	最后订舱
Last Email	最后电子邮件
Last Event	上次事件
Quote is valid for	报价的有效期为
minute(s)	分钟
second(s)	秒
The credit card number should contain only digits	信用卡号码应只包含数字
This quote is not valid any more	这句话是不再有效
The page will be automatically refreshed	该页面会自动刷新
You will pay in	你将支付
There are no properties in your wish list	有你的愿望清单没有属性
Garage Spaces	车库空间
An unexpected error occurred	发生意外错误
Please try again later	请稍后再试。
Booking not found	预订未找到
Make a Payment	进行付款
Please verify this booking belongs to you	请验证该预订属于你
This booking has been canceled	此预订已被取消
Pay Now	现在支付
Filter by	过滤
Response	响应
See full review on	看到全面检讨
Lot Size	批量
Privacy	隐私
Privacy Policy	隐私政策
Policy	政策
Terms	条款
My WishList	我的愿望清单
WishList	愿望清单
WishListed	在您的愿望清单
Nights	夜晚
Inquire Now	现在查询
Thank you, your request has been submitted.	谢谢你，你的请求已提交。
Booking %s was not found.	预订 %s 找不到。
Try again	再試一次
Please contact us to complete this transaction:	請要完成這筆交易，與我們聯繫︰
Booking ID	預訂 ID
Phone	電話
There was an error with PayPal	與貝寶出錯
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	不幸的是，您的付款失敗。別擔心，您的預訂是安全的;但你將需要嘗試再一次您的付款。
Payment Confirmed	確認付款
Booking Confirmed	預訂確認
Booking Complete	預訂完成
Payment Complete	付款完成
Create Booking	創建預訂
Complete Payment	完成付款
Next, please confirm your %s PayPal payment.	接下來，請確認您的 %s 的貝寶付款。
Confirm this payment	確認這種付款條件
Please contact us to complete this transaction:	請要完成這筆交易，與我們聯繫︰
We're sorry, but your payment was unsuccessful.	我們很抱歉，但您的付款沒有成功。