Property Details	Property Details
Property	Property
Properties	Properties
Development	Development
Developments	Developments
Details	Details
Select	Select
General	General
Rates & Availability	Rates & Availability
Reviews	Reviews
Description	Description
Amenities	Amenities
Rates	Rates
Availability	Availability
Compare	Compare
Property Name	Property Name
Category	Category
Beds	Beds
Baths	Baths
Sleeps	Sleeps
Book Now	Book Now
Details & Availability	Details & Availability
Attractions	Attractions
Distance	Distance
Stories	Stories
Floor	Floor
No rates available	No rates available
Back to Results	Back to Results
Search Buckets	Search Buckets
Specials	Specials
All Rentals	All Rentals
Would you like to	Would you like to
Print this Page	Print this Page
Available Properties	Available Properties
This page is secure	This page is secure
check here	check here
Unit Size	Unit Size
Posted on	Posted on
Map & Attractions	Map & Attractions
Map	Map
Location	Location
Nearby Rentals	Nearby Rentals
Enquire Now	Enquire Now
Have a Question?	Have a Question?
Name	Name
Phone	Phone
Email	Email
Toll Free	Toll Free
Fax	Fax
Direct	Direct
Mobile	Mobile
Skype	Skype
Web Address	Web Address
Contact Us	Contact Us
Our Address	Our Address
Talk to Us	Talk to Us
View Larger Map	View Larger Map
Check-In	Check-In
Check-Out	Check-Out
How Did You Hear About Us?	How Did You Hear About Us?
Comments	Comments
Submit	Submit
You May Also Like	You May Also Like
News & Events	News & Events
Connect With Us	Connect With Us
Find your InstaVilla	Find your InstaVilla
Search for Availability	Search for Availability
Search	Search
Clear	Clear
Advanced	Advanced
Applies To	Applies To
Adults	Adults
Children	Children
Update	Update
Close	Close
more	more
less	less
Show More Results	Show More Results
There are no more results	There are no more results
List	List
Photo	Photo
View as	View as
My WishList	My Wish List
WishList	Wish List
WishListed	In your wish list
There are currently no active promotions/specials	There are currently no active promotions/specials
Effective Date	Effective Date
Expiration Date	Expiration Date
Apply	Apply
Coupon Code	Coupon Code
See Details	See Details
Address	Address
City	City
State	State
Country	Country
Region	Region
Neighborhood	Neighborhood
Postal Code	Postal Code
Province	Province
Town	Town
Fast Secure Online Booking	Fast Secure Online Booking
Charges	Charges
Taxes & Fees	Taxes & Fees
Rent (including Taxes,Fees,& Deposits)	Rent (including Taxes,Fees,& Deposits)
Rent (including Taxes & Fees)	Rent (including Taxes & Fees)
Rent (including Taxes)	Rent (including Taxes)
Rent (including Fees)	Rent (including Fees)
Optional Fees	Optional Fees
Refundable Security Deposit	Refundable Security Deposit
Booking Details	Booking Details
Rent	Rent
Fees	Fees
Taxes	Taxes
Optional Fees & Services	Optional Fees & Services
Deposits	Deposits
Discounts	Discounts
Sub Total	Sub Total
Total	Total
First Name	First Name
Last Name	Last Name
Special Requests	Special Requests
Change Info	Change Info
Accept Terms and Conditions	Accept Terms and Conditions
Please fill out all required fields	Please fill out all required fields
The entered credit card is invalid	The entered credit card is invalid
Please accept the terms and conditions	Please accept the terms and conditions
Guest Information	Guest Information
Credit Card Information	Credit Card Information
Name on Card	Name on Card
Card Type	Card Type
Card Number	Card Number
Expiration	Expiration
Month	Month
Year	Year
Security Code	Security Code
Amount to be charged now	Amount to be charged now
Amount Paid	Amount Paid
Amount Due Now	Amount Due Now
Billing Address	Billing Address
Street Line 1	Street Line 1
Street Line 2	Street Line 2
I have read and accept the terms and conditions	I have read and accept the terms and conditions
Terms of Service	Terms of Service
Rental Policy	Rental Policy
Booking Disclaimer	Booking Disclaimer
Review Now	Review Now
Reserve Now	Reserve Now
You Saved	You Saved
Status	Status
Created On	Created On
Hold Confirmation Number	Hold Confirmation Number
Quoted Rate	Quoted Rate
We are looking forward to your visit	We are looking forward to your visit
in the mean time	in the mean time
you may want to review one of these links	you may want to review one of these links
Map and Description of Local Attractions	Map and Description of Local Attractions
More Info About	More Info About
located in	located in
Complete your booking now	Complete your booking now
click here	click here
Your booking will be held until	Your booking will be held until
A service from	A service from
Best Regards	Best Regards
Thank you for your interest in	Thank you for your interest in
Toll-Free	Toll-Free
Confirmed	Confirmed
Held	Held
Checked In	Checked In
Checked Out	Checked Out
Cancelled	Cancelled
Pending Confirmation	Pending Confirmation
Weather	Weather
Special Offers	Special Offers
Blog	Blog
Featured Suites	Featured Suites
Revise Search	Revise Search
Similar Properties	Similar Properties
Property Finders	Property Finders
Digital Footprint	Digital Footprint
Last Booking	Last Booking
Last Email	Last Email
Last Event	Last Event
Quote is valid for	Quote is valid for
minute(s)	minute(s)
second(s)	second(s)
The credit card number should contain only digits	The credit card number should contain only digits
This quote is not valid any more	This quote is not valid any more
The page will be automatically refreshed	The page will be automatically refreshed
You will pay in	You will pay in
There are no properties in your wish list	There are no properties in your wish list
Garage Spaces	Garage Spaces
An unexpected error occurred	An unexpected error occurred
Please try again later	Please try again later
Booking not found	Booking not found
Make a Payment	Make a Payment
Please verify this booking belongs to you	Please verify this booking belongs to you
This booking has been canceled	This booking has been canceled
Pay Now	Pay Now
Filter by	Filter by
Response	Response
See full review on	See full review on
Lot Size	Lot Size
Privacy	Privacy
Privacy Policy	Privacy Policy
Policy	Policy
Terms	Terms
Nights	Nights
Inquire Now	Inquire Now
Thank you, your request has been submitted.	Thank you, your request has been submitted.
Booking %s was not found.	Booking %s was not found.
Try again	Try again
Please contact us to complete this transaction:	Please contact us to complete this transaction:
Booking ID	Booking ID
There was an error with PayPal	There was an error with PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.
Payment Confirmed	Payment Confirmed
Booking Confirmed	Booking Confirmed
Booking Complete	Booking Complete
Payment Complete	Payment Complete
Create Booking	Create Booking
Complete Payment	Complete Payment
Next, please confirm your %s PayPal payment.	Next, please confirm your %s PayPal payment.
Confirm this payment	Confirm this payment
Please contact us to complete this transaction:	Please contact us to complete this transaction:
We're sorry, but your payment was unsuccessful.	We're sorry, but your payment was unsuccessful.