Property Details	Rincian Properti
Property	Harta Benda
Properties	Properti
Development	Pembangunan
Developments	Perkembangan
Details	Rincian
Select	Memilih
General	Umum
Rates & Availability	Harga & Ketersediaan
Reviews	Ulasan
Description	Deskripsi
Amenities	Fasilitas
Rates	Tarif
Availability	Tersedianya
Compare	Membandingkan
Property Name	Nama properti
Category	Kategori
Beds	Ranjang
Baths	Baths
Sleeps	Sleeps
Book Now	Pesan Sekarang
Details & Availability	Detail & Ketersediaan
Attractions	Atraksi
Distance	Jarak
Stories	Cerita
Floor	Lantai
No rates available	Tidak ada tarif tersedia
Back to Results	Kembali ke Hasil
Search Buckets	Cari Ember
Specials	Spesial
All Rentals	Semua tentang
Would you like to	Apakah Anda ingin
Print this Page	Cetak Halaman ini
Available Properties	Properti Tersedia
This page is secure	Halaman ini aman
check here	cek di sini
Unit Size	Unit Ukuran
Posted on	Posted on
Map & Attractions	Peta & Atraksi
Map	Peta
Location	Tempat
Nearby Rentals	Sewa terdekat
Enquire Now	Tanyakan Sekarang
Have a Question?	Memiliki Pertanyaan?
Name	Nama
Phone	Telepon
Email	Email
Toll Free	Pulsa Gratis
Fax	Fax
Direct	Langsung
Mobile	Mobil
Skype	Skype
Web Address	Alamat Web
Contact Us	Hubungi Kami
Our Address	Alamat kami
Talk to Us	Berbicara dengan Kami
View Larger Map	Lihat Peta Lebih Besar
Check-In	Mendaftar
Check-Out	Check Out
How Did You Hear About Us?	Bagaimana Apakah Anda Mendengar Tentang Kami?
Comments	Komentar
Submit	Menyerahkan
You May Also Like	Anda Mungkin Juga Suka
News & Events	Berita & Acara
Connect With Us	Terhubung Dengan Kami
Find your InstaVilla	Cari InstaVilla Anda
Search for Availability	Mencari Ketersediaan
Search	Pencarian
Clear	Yang Jelas
Advanced	Maju
Applies To	Berlaku Untuk
Adults	Orang Dewasa
Children	Anak Anak
Update	Memperbarui
Close	Dekat
more	lebih banyak
less	lebih sedikit
Show More Results	Tampilkan Hasil Lainnya
There are no more results	Tidak ada hasil yang lebih
List	Daftar
Photo	Foto
View as	Lihat sebagai
There are currently no active promotions/specials	Saat ini tidak ada yang aktif promosi / spesial
Effective Date	Tanggal Berlaku
Expiration Date	Tanggal Kadaluarsa
Apply	Mengajukan Permohonan
Coupon Code	Kode Kupon
See Details	Lihat Detail
Address	Alamat
City	Kota
State	Negara
Country	Negara
Region	Daerah
Neighborhood	Lingkungan
Postal Code	Kode Pos
Province	Propinsi
Town	Kota
Fast Secure Online Booking	Cepat Aman Pemesanan Online
Charges	Biaya
Taxes & Fees	Pajak & Biaya
Rent (including Taxes,Fees,& Deposits)	Sewa (termasuk Pajak, Biaya, & Deposito)
Rent (including Taxes & Fees)	Sewa (termasuk Pajak & Biaya)
Rent (including Taxes)	Sewa (termasuk Pajak)
Rent (including Fees)	Sewa (termasuk Biaya)
Optional Fees	Opsional Biaya
Refundable Security Deposit	Refundable Security Deposit
Booking Details	Detail Pemesanan
Rent	Sewa Tempat
Fees	Biaya
Taxes	Pajak
Optional Fees & Services	Opsional Biaya & Layanan
Deposits	Deposito
Discounts	Potongan Harga
Sub Total	Sub Total
Total	Total Keseluruhan
First Name	Nama Depan
Last Name	Nama Belakang
Special Requests	Permintaan Khusus
Change Info	Perubahan Info
Accept Terms and Conditions	Terima Syarat dan Ketentuan
Please fill out all required fields	Silahkan mengisi semua bidang yang diperlukan
The entered credit card is invalid	Kartu kredit yang dimasukkan tidak valid
Please accept the terms and conditions	Harap menerima syarat dan ketentuan
Guest Information	Informasi Tamu
Credit Card Information	Informasi Kartu Kredit
Name on Card	Nama pada kartu
Card Type	Jenis Kartu
Card Number	Nomor Kartu
Expiration	Kedaluwarsa
Month	Bulan
Year	Tahun
Security Code	Kode Keamanan
Amount to be charged now	Jumlah yang akan dikenakan saat
Amount Paid	Jumlah Yang Dibayarkan
Amount Due Now	Jumlah Karena Sekarang
Billing Address	Alamat Penagihan
Street Line 1	Jalan Jalur 1
Street Line 2	Jalan Jalur 2
I have read and accept the terms and conditions	Saya telah membaca dan menerima syarat dan ketentuan
Terms of Service	Ketentuan Layanan
Rental Policy	Kebijakan Rental
Booking Disclaimer	Sangkalan pemesanan
Review Now	Tinjau Sekarang
Reserve Now	Pesan Sekarang
You Saved	Anda Disimpan
Status	Status
Created On	Dibuat pada
Hold Confirmation Number	Tahan Nomor Konfirmasi
Quoted Rate	Tingkat Dikutip
We are looking forward to your visit	Kami menantikan kunjungan Anda
in the mean time	sementara itu
you may want to review one of these links	Anda mungkin ingin meninjau salah satu dari link ini
Map and Description of Local Attractions	Peta dan Deskripsi Objek Lokal
More Info About	Info Lebih Tentang
located in	berada di
Complete your booking now	Lengkapi pemesanan Anda sekarang
click here	klik disini
Your booking will be held until	Pemesanan Anda akan berlangsung hingga
A service from	Sebuah layanan dari
Best Regards	Salam Hormat
Thank you for your interest in	Terima kasih atas minat Anda pada
Toll-Free	Bebas Pulsa
Confirmed	Dikonfirmasi
Held	Diadakan
Checked In	Diperiksa Dalam
Checked Out	Memeriksa
Cancelled	Dibatalkan
Pending Confirmation	Konfirmasi tertunda
Weather	Cuaca
Special Offers	Penawaran Khusus
Blog	Blog
Featured Suites	Pilihan Suites
Revise Search	Merevisi Cari
Similar Properties	Properti serupa
Property Finders	Finders Properti
Digital Footprint	Digital Jejak
Last Booking	Pemesanan terakhir
Last Email	Email lalu
Last Event	Acara terakhir
Quote is valid for	Kutipan ini berlaku untuk
minute(s)	menit (s)
second(s)	kedua (s)
The credit card number should contain only digits	Nomor kartu kredit harus berisi angka saja
This quote is not valid any more	Kutipan ini tidak berlaku lagi
The page will be automatically refreshed	Halaman ini akan secara otomatis di-refresh
You will pay in	Anda akan membayar dalam
There are no properties in your wish list	Tidak ada properti dalam daftar keinginan Anda
Garage Spaces	Ruang Garasi
An unexpected error occurred	Sebuah kesalahan yang tidak terduga terjadi
Please try again later	Silakan coba lagi nanti
Booking not found	Pemesanan tidak ditemukan
Make a Payment	Melakukan pembayaran
Please verify this booking belongs to you	Silakan verifikasi pemesanan ini milik Anda
This booking has been canceled	Pemesanan ini telah dibatalkan
Pay Now	Bayar Sekarang
Filter by	Filter dengan
Response	Tanggapan
See full review on	Lihat ulasan lengkap di
Lot Size	Lot Size
Privacy	Pribadi
Privacy Policy	Kebijakan Privasi
Policy	Polis
Terms	Ketentuan
My WishList	Keinginanku
WishList	Daftar keinginan
WishListed	Dalam daftar keinginan Anda
Nights	Malam
Inquire Now	Menanyakan Sekarang
Thank you, your request has been submitted.	Terima kasih, permintaan Anda telah disampaikan.
Booking %s was not found.	Terakhir %s tidak ditemukan.
Try again	Coba lagi
Please contact us to complete this transaction:	Silahkan hubungi kami untuk menyelesaikan transaksi ini:
Booking ID	ID terakhir
There was an error with PayPal	Ada error dengan PayPal
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	Sayangnya, pembayaran Anda gagal. Jangan khawatir, pemesanan Anda aman; Tapi Anda akan perlu untuk mencoba pembayaran Anda lagi.
Payment Confirmed	Pembayaran dikonfirmasi
Booking Confirmed	Terakhir dikonfirmasi
Booking Complete	Terakhir lengkap
Payment Complete	Pembayaran lengkap
Create Booking	Membuat pesanan
Complete Payment	Menyelesaikan pembayaran
Next, please confirm your %s PayPal payment.	Selanjutnya, pastikan Anda %s PayPal pembayaran.
Confirm this payment	Konfirmasi pembayaran ini
Please contact us to complete this transaction:	Silahkan hubungi kami untuk menyelesaikan transaksi ini:
We're sorry, but your payment was unsuccessful.	Mohon maaf, tetapi pembayaran Anda tidak berhasil.