Property Details	不動産の詳細
Property	プロパティ
Properties	プロパティ
Development	開発
Developments	開発
Details	細部
Select	選択する
General	一般的な
Rates & Availability	料金＆空室
Reviews	レビュー
Description	説明
Amenities	アメニティ
Rates	料金
Availability	可用性
Compare	比較する
Property Name	プロパティ名
Category	カテゴリ
Beds	ベッド
Baths	浴場
Sleeps	眠る
Book Now	今すぐ予約
Details & Availability	詳細と販売について
Attractions	観光名所
Distance	距離
Stories	ストーリー
Floor	フロア
No rates available	ご利用いただけません料金
Back to Results	結果に戻る
Search Buckets	検索バケツ
Specials	スペシャル
All Rentals	すべてのレンタル
Would you like to	あなたはしたいですか
Print this Page	このページを印刷
Available Properties	利用可能なプロパティ
This page is secure	このページは安全です
check here	ここでチェック
Unit Size	ユニットのサイズ
Posted on	上の投稿
Map & Attractions	マップとアトラクション
Map	マップ
Location	場所
Nearby Rentals	近所のレンタル
Enquire Now	今お尋ね
Have a Question?	質問がありますか？
Name	名前
Phone	電話
Email	メール
Toll Free	通話料無料
Fax	ファックス
Direct	ダイレクト
Mobile	モバイル
Skype	スカイプ
Web Address	Webアドレス
Contact Us	お問い合わせ
Our Address	私たちのアドレス
Talk to Us	私たちに講演
View Larger Map	大きな地図で見る
Check-In	チェックイン
Check-Out	チェックアウト
How Did You Hear About Us?	私たちのことをどこで知りましたか？
Comments	注釈
Submit	提出する
You May Also Like	あなたもご覧
News & Events	ニュース＆イベント
Connect With Us	私たちと一緒に接続します
Find your InstaVilla	あなたのInstaVillaを探す
Search for Availability	空室を検索する
Search	検索
Clear	クリア
Advanced	高度な
Applies To	に適用されます
Adults	大人
Children	子供
Update	アップデート
Close	クローズ
more	もっと
less	もっと少なく
Show More Results	その他の結果を表示
There are no more results	これ以上の結果はありません
List	リスト
Photo	フォト
View as	として表示
There are currently no active promotions/specials	アクティブなプロモーション/スペシャルはありません...
Effective Date	発効日
Expiration Date	有効期限
Apply	適用する
Coupon Code	クーポンコード
See Details	詳細を参照してください
Address	アドレス
City	シティ
State	状態
Country	カントリー
Region	地域
Neighborhood	ご近所
Postal Code	郵便番号
Province	県
Town	タウン
Fast Secure Online Booking	高速で確実なオンライン予約
Charges	課金
Taxes & Fees	税およびサービス料
Rent (including Taxes,Fees,& Deposits)	家賃（税金、手数料、および預金を含む）
Rent (including Taxes & Fees)	（税およびサービス料を含む）家賃
Rent (including Taxes)	（税込み）家賃
Rent (including Fees)	（手数料含む）家賃
Optional Fees	オプション料金
Refundable Security Deposit	返金保証金
Booking Details	予約の詳細
Rent	家賃
Fees	手数料
Taxes	税金
Optional Fees & Services	オプション料金＆サービス
Deposits	預金
Discounts	割引
Sub Total	小計
Total	合計
First Name	ファーストネーム
Last Name	苗字
Special Requests	特別なリクエスト
Change Info	変更情報
Accept Terms and Conditions	利用規約に同意
Please fill out all required fields	すべての必須項目にご記入ください
The entered credit card is invalid	入力されたクレジットカードが無効です
Please accept the terms and conditions	条件に同意してください
Guest Information	ゲスト情報
Credit Card Information	クレジットカード情報
Name on Card	カードの名前
Card Type	カードの種類
Card Number	カード番号
Expiration	期限切れ
Month	月
Year	年
Security Code	セキュリティコード
Amount to be charged now	今充電される金額
Amount Paid	支払金額
Amount Due Now	今未払い額
Billing Address	請求先住所
Street Line 1	ストリートライン1
Street Line 2	ストリートライン2
I have read and accept the terms and conditions	私は読み、条件に同意している
Terms of Service	利用規約
Rental Policy	レンタルポリシー
Booking Disclaimer	予約免責事項
Review Now	今すぐ確認
Reserve Now	今すぐリザーブ
You Saved	保存した
Status	ステータス
Created On	上で作成
Hold Confirmation Number	確認番号を保持する
Quoted Rate	引用符で囲まれたレート
We are looking forward to your visit	私たちはあなたの訪問を楽しみにしています
in the mean time	平均時間で
you may want to review one of these links	あなたはこれらのリンクのいずれかを確認することができます
Map and Description of Local Attractions	観光地の地図と説明
More Info About	についての詳細情報
located in	にあります
Complete your booking now	ご予約が完了しました
click here	ここをクリック
Your booking will be held until	あなたの予約はまで開催されます
A service from	からのサービス
Best Regards	宜しくお願いします
Thank you for your interest in	にご関心をいただきありがとうございます
Toll-Free	フリーダイヤルの
Confirmed	確認された
Held	ヘルド
Checked In	でチェック
Checked Out	チェックアウト
Cancelled	キャンセル
Pending Confirmation	保留中の確認
Weather	天気
Special Offers	スペシャルオファー
Blog	ブログ
Featured Suites	注目のスイート
Revise Search	改訂検索
Similar Properties	同じような物件
Property Finders	プロパティファインダ
Digital Footprint	デジタルフットプリント
Last Booking	最後のご予約
Last Email	ラストメール
Last Event	ラストイベント
Quote is valid for	引用は有効です
minute(s)	分と
second(s)	秒（s）
The credit card number should contain only digits	クレジットカード番号は数字のみが含まれている必要があり
This quote is not valid any more	この引用はもはや有効ではありません
The page will be automatically refreshed	ページが自動的に更新されます
You will pay in	あなたは、でお支払いいただきます
There are no properties in your wish list	あなたの欲しい物のリストにはプロパティはありません
Garage Spaces	ガレ​​ージスペース
An unexpected error occurred	予期しないエラーが発生しました
Please try again later	後でもう一度お試しください
Booking not found	見つからない予約
Make a Payment	支払いをする
Please verify this booking belongs to you	この予約はあなたに属していることを確認してください
This booking has been canceled	この予約はキャンセルされました
Pay Now	今すぐ支払う
Filter by	によるフィルタ
Response	応答
See full review on	上の全面的な見直しを参照してください
Lot Size	ロットサイズ
Privacy	プライバシー
Privacy Policy	個人情報保護方針
Policy	ポリシー
Terms	条件
My WishList	マイウィッシュリスト
WishList	欲しい物のリスト
WishListed	あなたの欲しい物のリストで、
Nights	泊
Inquire Now	今すぐお問い合わせ
Thank you, your request has been submitted.	あなたのリクエストが送信されました、ありがとうございます。
Booking %s was not found.	予約 %s が見つかりませんでした。
Try again	もう一度やり直してください
Please contact us to complete this transaction:	このトランザクションを完了するためお問い合わせください。
Booking ID	予約 ID
There was an error with PayPal	PayPal でエラーが発生しました
Unfortunately, your payment failed. Don't worry, your booking is safe; but you will need to try your payment again.	残念ながら、あなたのお支払いができませんでした。心配しないで、ご予約は安全です。しかし、再度お支払いをしようとする必要があります。
Payment Confirmed	お支払いの確認
Booking Confirmed	予約確認
Booking Complete	予約完了
Payment Complete	お支払い完了
Create Booking	予約を作成します。
Complete Payment	支払いを完了します。
Next, please confirm your %s PayPal payment.	次に、あなたの %s の PayPal での支払いをご確認ください。
Confirm this payment	この支払いを確認します。
Please contact us to complete this transaction:	このトランザクションを完了するためお問い合わせください。
We're sorry, but your payment was unsuccessful.	我々 は申し訳ありませんが、お支払いは成功しなかった。